datetime,open,high,low,close
2026-03-06 20:00,1.0987,1.0996,1.0982,1.0992
2026-03-06 21:00,1.0992,1.1000,1.0987,1.0997
2026-03-06 22:00,1.0997,1.1005,1.0990,1.0999
2026-03-06 23:00,1.0999,1.1008,1.0993,1.1004
2026-03-07 00:00,1.1004,1.1012,1.0999,1.1008
2026-03-07 01:00,1.1008,1.1016,1.1003,1.1014
2026-03-07 02:00,1.1014,1.1020,1.1009,1.1017
2026-03-07 03:00,1.1017,1.1025,1.1012,1.1021
2026-03-07 04:00,1.1021,1.1029,1.1016,1.1027
2026-03-07 05:00,1.1027,1.1035,1.1022,1.1031
2026-03-07 06:00,1.1031,1.1039,1.1026,1.1036
2026-03-07 07:00,1.1036,1.1042,1.1030,1.1038
2026-03-07 08:00,1.1038,1.1046,1.1034,1.1043
2026-03-07 09:00,1.1043,1.1050,1.1039,1.1048
2026-03-07 10:00,1.1048,1.1057,1.1042,1.1054
2026-03-07 11:00,1.1054,1.1063,1.1049,1.1059
2026-03-07 12:00,1.1059,1.1068,1.1053,1.1064
2026-03-07 13:00,1.1064,1.1072,1.1058,1.1069
2026-03-07 14:00,1.1069,1.1076,1.1062,1.1071
2026-03-07 15:00,1.1071,1.1080,1.1066,1.1077
2026-03-07 16:00,1.1077,1.1085,1.1072,1.1081
2026-03-07 17:00,1.1081,1.1089,1.1076,1.1086
2026-03-07 18:00,1.1086,1.1094,1.1080,1.1090
2026-03-07 19:00,1.1090,1.1098,1.1084,1.1093
2026-03-07 20:00,1.1093,1.1102,1.1088,1.1099
2026-03-07 21:00,1.1099,1.1108,1.1093,1.1105
2026-03-07 22:00,1.1105,1.1114,1.1100,1.1109
2026-03-07 23:00,1.1109,1.1118,1.1104,1.1115
2026-03-08 00:00,1.1115,1.1122,1.1108,1.1110
2026-03-08 01:00,1.1110,1.1118,1.1105,1.1113
2026-03-08 02:00,1.1113,1.1121,1.1107,1.1119
2026-03-08 03:00,1.1119,1.1128,1.1114,1.1124
2026-03-08 04:00,1.1124,1.1132,1.1119,1.1128
2026-03-08 05:00,1.1128,1.1136,1.1123,1.1133
2026-03-08 06:00,1.1133,1.1141,1.1128,1.1139
2026-03-08 07:00,1.1139,1.1147,1.1134,1.1144
2026-03-08 08:00,1.1144,1.1152,1.1139,1.1149
2026-03-08 09:00,1.1149,1.1158,1.1143,1.1155
2026-03-08 10:00,1.1155,1.1163,1.1150,1.1159
2026-03-08 11:00,1.1159,1.1166,1.1153,1.1162
2026-03-08 12:00,1.1162,1.1170,1.1157,1.1168
2026-03-08 13:00,1.1168,1.1176,1.1162,1.1173
2026-03-08 14:00,1.1173,1.1182,1.1167,1.1178
2026-03-08 15:00,1.1178,1.1185,1.1171,1.1179
2026-03-08 16:00,1.1179,1.1188,1.1174,1.1184
2026-03-08 17:00,1.1184,1.1192,1.1179,1.1189
2026-03-08 18:00,1.1189,1.1197,1.1183,1.1194
2026-03-08 19:00,1.1194,1.1202,1.1188,1.1198
2026-03-08 20:00,1.1198,1.1206,1.1192,1.1203
2026-03-08 21:00,1.1203,1.1211,1.1197,1.1209
2026-03-08 22:00,1.1209,1.1218,1.1204,1.1214
2026-03-08 23:00,1.1214,1.1223,1.1208,1.1219
